"allele"	"logit_of_percentage"	"estimated_transmission_percentage"	"lower_confidence_interval"	"upper_confidence_interval"	"raw_p_value"	"adj_p_value"	"mean"	"sd"	"count"	"totalkernel"	"totalGFP"	"totalWT"
"R60D10"	0.115564685832068	0.528859060402685	0.507878406059744	0.54973824095857	0.00704086383111679	0.0745226287665251	0.521683921335759	0.0332589151629706	6	2235	1182	1053
"R63F09"	0.0491741150284396	0.512291052114061	0.494334279479461	0.530216155954608	0.179718150106416	0.422268742458339	0.50503045762941	0.0245265521014859	8	3051	1563	1488
"R65A10"	0.0648583862153937	0.516208914903197	0.501327053626118	0.531062083116246	0.0327877519143709	0.159966559662812	0.518555769397634	0.0204793085195757	11	4442	2293	2149
"R65E02"	0.04669860300924	0.511672529581068	0.493935572743981	0.529380141640066	0.197087834286986	0.439657476486354	0.506971857180255	0.0264721482768642	7	3127	1600	1527
"R67C09"	0.0718480841862845	0.517954298150163	0.501594743088639	0.534275452336033	0.0314814512834645	0.159966559662812	0.521849033227345	0.0295408070668034	10	3676	1904	1772
"R69C04"	0.0421890487317884	0.510545698024774	0.492398421822507	0.528665220790938	0.254701828719776	0.49791267909082	0.513471972671678	0.0198608746700462	7	2987	1525	1462
"R72D11"	-0.016313575491524	0.495921696574225	0.478022167737829	0.513831685498481	0.655434532245528	0.844782286005347	0.494558683378948	0.0210989260442442	7	3065	1520	1545
"R77F09"	0.105868001078512	0.526442307692308	0.508062973188809	0.544750262403188	0.00482111627659276	0.0699061860105951	0.523697400880096	0.0390537216912797	9	2912	1533	1379
"R81E02"	-0.0509063723475133	0.487276154571159	0.472074707411749	0.502501175690621	0.101414232657907	0.310987546915163	0.485785229815026	0.022332140902617	12	4244	2068	2176
"R81G05"	-0.0133632278121672	0.496659242761693	0.477567162646427	0.515761070134869	0.731829755701718	0.891515945735184	0.495590628557634	0.0195819010994159	7	2694	1338	1356
"R82A03"	-0.00162130898283165	0.49959467284308	0.488924311727842	0.510265403164732	0.94066100956776	0.99196979190782	0.498913742405669	0.0256090103914052	22	8635	4314	4321
"R82C05"	0.0777257705257044	0.519421665947346	0.50485208825926	0.533958287015736	0.00899411036837372	0.0745226287665251	0.518684005039522	0.0249028262361993	12	4634	2407	2227
"R83A02"	0.0109508311867513	0.502737680438029	0.489964676432598	0.515507112123277	0.67445289091094	0.850397123322489	0.502981279707701	0.0157471140061209	15	6027	3030	2997
"R83B04"	0.0416332595586652	0.510406811731315	0.48883642809516	0.531938511307681	0.344357574562982	0.587433509548617	0.506522305601719	0.0267829384411806	5	2114	1079	1035
"R84A12"	0.0713454881269975	0.517828810020877	0.508767246002192	0.526878662619595	0.000115696748608229	0.00335520570963865	0.518027288679242	0.0321905260408945	28	11975	6201	5774
"R87A03"	-0.0589137574128055	0.485275819162173	0.465122604758312	0.505477031182142	0.153099842963331	0.388491960464746	0.480975039306878	0.0285813279626012	6	2411	1170	1241
"R88B08"	0.0318677388480225	0.50796626054358	0.486499734022461	0.529403452177778	0.467058659045559	0.694600057042114	0.509694793206346	0.0102099416093924	6	2134	1084	1050
"R91F11"	0.00300571311349325	0.500751427712654	0.483564102026874	0.517936977778877	0.931736767034518	0.99196979190782	0.500975757483284	0.00884932162773371	7	3327	1666	1661
"R91G06"	0.0428591338285312	0.510713143588104	0.492976632354243	0.528422721944414	0.236456095149478	0.49791267909082	0.506303214948172	0.0317686368348073	7	3127	1597	1530
"R92A10"	0.0173286625053659	0.504332057223454	0.490255817917947	0.518401432513866	0.546409130261171	0.772969013540193	0.504613407728024	0.021828603694266	12	4963	2503	2460
"R92F08"	-0.0391977644779925	0.49020181339573	0.473262499592324	0.507163657728133	0.257541040909045	0.49791267909082	0.489282080617462	0.0231881881568425	9	3419	1676	1743
"R95D10"	-0.0203801853550785	0.494905130007027	0.481767635538392	0.508049663718048	0.447454729356519	0.682957218491529	0.495881343409387	0.018550065225001	15	5692	2817	2875
"R96B12"	0.0728486495027895	0.518204112431617	0.504582123101348	0.531799096102424	0.00882174372081002	0.0745226287665251	0.516519324039678	0.0233480495264203	12	5301	2747	2554
"R96C12"	-0.0048514346215518	0.498787143723469	0.486579545185561	0.510996188412917	0.845646241979823	0.949323979671981	0.501667789266199	0.0279140077909954	17	6596	3290	3306
"R99B02"	0.035915462386096	0.508977900552486	0.490548748169042	0.527382683757467	0.339676046574092	0.587433509548617	0.507820389745498	0.0200073576123894	7	2896	1474	1422
