"allele"	"logit_of_percentage"	"estimated_transmission_percentage"	"lower_confidence_interval"	"upper_confidence_interval"	"raw_p_value"	"adj_p_value"	"mean"	"sd"	"count"	"totalkernel"	"totalGFP"	"totalWT"
"R44E07"	-0.00258509407210469	0.499353726841879	0.461221119004908	0.537493854118467	0.973555179459124	0.984992971701402	0.496093590178852	0.0330342572484233	7	2321	1159	1162
"R45E04"	0.0326724071419923	0.508167375251734	0.480637130688035	0.535648174196598	0.561043171028931	0.886701936578647	0.509558560950853	0.0192512650022159	11	4469	2271	2198
"R46C04"	0.0352332141002629	0.508807392434306	0.477536523423075	0.540009491943942	0.581088900581649	0.886701936578647	0.507375913931457	0.0288750342721322	8	3463	1762	1701
"R49F11"	-0.215566725118206	0.44631604459525	0.426267260872756	0.466541003914768	2.19341187879252e-07	2.12029814949943e-06	0.447443247817031	0.0417213662884727	22	8252	3683	4569
"R52B09"	0.0925836637807268	0.523129396717118	0.496239684980737	0.549885695864015	0.0917876625147267	0.426203470941608	0.521362175103803	0.0369016172719798	14	4691	2454	2237
"R52E07"	-0.0908808629159854	0.477295409181637	0.448357042634704	0.506387004973512	0.126048831488755	0.522202301881985	0.477214861997933	0.0239840705328461	10	4008	1913	2095
"R53C03"	0.0354716991578002	0.508866995073892	0.479983352467577	0.537691560767181	0.547499989840101	0.886701936578647	0.509257390617429	0.0296056336592524	11	4060	2066	1994
"R60D10"	0.0486890570463488	0.512169860176074	0.482548506235846	0.541705984340145	0.420734666708515	0.886701936578647	0.510526885665956	0.0264133140725621	8	3862	1978	1884
"R63F09"	-0.0302348611875471	0.492441860465116	0.466860075206205	0.518063286147185	0.563244435234522	0.886701936578647	0.490962285960898	0.0184945918479464	12	5160	2541	2619
"R65A10"	0.0182738629709198	0.504568338616446	0.479441769142014	0.529671853773516	0.721697696276265	0.984992971701402	0.502202696643276	0.0389172289763821	15	5363	2706	2657
"R65E02"	-0.0587834695971852	0.48530836293187	0.45235594190225	0.51838901604633	0.384097268512684	0.886701936578647	0.491512512767481	0.0267545912732549	9	3097	1503	1594
"R67C09"	-0.123919014862856	0.469059829059829	0.445127729061151	0.493135092037477	0.0118035741302567	0.0622370272322625	0.47097669661124	0.0353156242220881	15	5850	2744	3106
"R69C04"	0.131991381658548	0.532950022114109	0.494199478074896	0.571307053539331	0.0955283641765674	0.426203470941608	0.533167201888686	0.0304269889207961	7	2261	1205	1056
"R72D11"	-0.0388983578074492	0.490276636537935	0.459890006659852	0.520735288218793	0.531648360196443	0.886701936578647	0.489697532709704	0.0240712488325148	9	3651	1790	1861
"R77F09"	-0.0526076017491066	0.486851131946033	0.459092509064176	0.514691102568116	0.354619311373379	0.886701936578647	0.490940757643263	0.0312671660576094	13	4373	2129	2244
"R81E02"	0.0125107295340654	0.50312764158918	0.479203626119692	0.527037344008103	0.7978697637259	0.984992971701402	0.503480279887595	0.038049485968733	17	5915	2976	2939
"R81G05"	0.062469397672331	0.515612272603856	0.485273439379689	0.545836466575202	0.313162120207143	0.886701936578647	0.512994990761816	0.0219923493624311	8	3683	1899	1784
"R82A03"	-0.613128354909218	0.351345908572196	0.337084160373676	0.365878028030003	0	0	0.353483143047162	0.0557608653880646	48	14897	5234	9663
"R82C05"	-2.16954337588395	0.102519039295514	0.0919982926783725	0.114091742802318	0	0	0.110855122566293	0.065386192285531	27	10242	1050	9192
"R83A02"	-0.0256846519629916	0.493579189990122	0.469992760887709	0.517194234662287	0.594191067172845	0.886701936578647	0.49204586928388	0.0308201948057442	17	6074	2998	3076
"R83B04"	0.00646553976464171	0.501616379310345	0.458978605063342	0.544230657906751	0.940898245624294	0.984992971701402	0.497078305185921	0.0423112161458006	5	1856	931	925
"R84A12"	-0.913794595861338	0.286223973587518	0.274236179080927	0.298520253091875	0	0	0.286799243033643	0.0720233552801613	71	18779	5375	13404
"R87A03"	0.00557669379359873	0.501394169835235	0.472114224855516	0.530664555918597	0.925719226751915	0.984992971701402	0.497363822404654	0.0235898335423032	11	3945	1978	1967
"R88B08"	0.00175901540517963	0.500439753737907	0.468960108736337	0.531915912867597	0.97818461839428	0.984992971701402	0.504068038045696	0.0312716900419894	9	3411	1707	1704
"R91F11"	0.00203045755038229	0.500507614213198	0.474299054924399	0.52671338440072	0.969744851260073	0.984992971701402	0.500151781117819	0.0361498093893475	12	4925	2465	2460
"R91G06"	0.043688695002332	0.510920436817473	0.474580567041221	0.547145245979361	0.556065287351128	0.886701936578647	0.509704099357205	0.032449690042783	7	2564	1310	1254
"R92A10"	-0.00747606277435447	0.498130993011539	0.474684376728958	0.521585832091982	0.875960714770407	0.984992971701402	0.496431700110151	0.0434663249292103	15	6153	3065	3088
"R92F08"	-0.160342650075179	0.46	0.431505779327496	0.488758130663244	0.00644888970256607	0.0374035602748832	0.463214524548344	0.0388063266812476	13	4100	1886	2214
"R95D10"	-0.153071814688628	0.461806592968828	0.44354891202312	0.48016730183943	4.68524625345523e-05	0.000301938091889337	0.46253432824379	0.0354842970906196	26	10041	4637	5404
"R96B12"	-0.0442332549768253	0.488943488943489	0.466854014809348	0.511076228510997	0.327526289312273	0.886701936578647	0.488911530318332	0.0366082054972072	20	6919	3383	3536
"R96C12"	-0.146925794903771	0.463334486336908	0.446311544701342	0.480443318333168	2.73852085623805e-05	0.000198542762077258	0.466560528266173	0.0807970122310892	37	11564	5358	6206
"R99B02"	-0.0330244650398114	0.491744634012108	0.461280207767375	0.522270493809902	0.596230612527021	0.886701936578647	0.489767275792815	0.0171499208903347	10	3634	1787	1847
