"Allele","#Ears","#IncLin","#DecLin","#TrueQuad","#NoTrend","%IncLin","%DecLin","%TrueQuad","%NoTrend","Increasing.Linear","Inc_Linear_Benji_Pass","Decreasing.Linear","Dec_Linear_Benji_Pass","Quadratic","Quadratic_Benji_Pass","Transmission_Rate_Spatial_GLM","Transmission_Rate_TR_GLM","Transmission_Defect","Transmission_Bias_Positive","TR_GLM_Adj_pval"
"R49F11",22,1,3,1,17,0.05,0.14,0.05,0.77,0.513802872608508,FALSE,0.215550493752082,FALSE,0.185571925673913,FALSE,0.444798724591471,0.44631604459525,TRUE,FALSE,2.12029814949943e-06
"R52B09",14,1,0,0,13,0.07,0,0,0.93,0.839796562740479,FALSE,0.134051701046496,FALSE,0.630549945434068,FALSE,0.525368248772504,0.523129396717118,FALSE,FALSE,0.426203470941608
"R52E07",10,2,0,1,7,0.2,0,0.1,0.7,0.156325261262016,FALSE,0.797757408784116,FALSE,0.294312397142967,FALSE,0.476585496387477,0.477295409181637,FALSE,FALSE,0.522202301881985
"R53C03",11,0,1,0,10,0,0.09,0,0.91,0.809063253174535,FALSE,0.238125040749838,FALSE,0.917282355028057,FALSE,0.504181278661991,0.508866995073892,FALSE,FALSE,0.886701936578647
"R60D10",8,0,1,0,7,0,0.12,0,0.88,0.440870900762139,FALSE,0.289844129683165,FALSE,0.465391708399827,FALSE,0.510826210826211,0.512169860176074,FALSE,FALSE,0.886701936578647
"R63F09",12,3,2,0,7,0.25,0.17,0,0.58,0.104410265404796,FALSE,0.428888755952905,FALSE,0.021026381734505,FALSE,0.491883810337463,0.492441860465116,FALSE,FALSE,0.886701936578647
"R65A10",15,2,1,0,12,0.13,0.07,0,0.8,0.205285278603909,FALSE,0.810925941240798,FALSE,0.613904228338358,FALSE,0.501533428746678,0.504568338616446,FALSE,FALSE,0.984992971701402
"R65E02",9,0,0,0,9,0,0,0,1,0.714215466912271,FALSE,0.602078133622064,FALSE,0.893775972717841,FALSE,0.481953290870488,0.48530836293187,FALSE,FALSE,0.886701936578647
"R67C09",15,0,3,0,12,0,0.2,0,0.8,0.781035297694391,FALSE,0.0151593218436935,FALSE,0.0697708308245624,FALSE,0.468081111528351,0.469059829059829,FALSE,FALSE,0.0622370272322625
"R69C04",7,1,0,1,5,0.14,0,0.14,0.71,0.121870790852699,FALSE,0.715868222872016,FALSE,0.0790226027618038,FALSE,0.531478770131772,0.532950022114109,FALSE,FALSE,0.426203470941608
"R72D11",9,1,0,0,8,0.11,0,0,0.89,0.695521805177335,FALSE,0.269910285136102,FALSE,0.298055347487913,FALSE,0.48896839594514,0.490276636537935,FALSE,FALSE,0.886701936578647
"R77F09",13,1,1,0,11,0.08,0.08,0,0.85,0.130877920014454,FALSE,0.587644899855008,FALSE,0.494296846117741,FALSE,0.488976963091404,0.486851131946033,FALSE,FALSE,0.886701936578647
"R81E02",17,2,0,0,15,0.12,0,0,0.88,0.0810504800425716,FALSE,0.893059987276652,FALSE,0.796199665716051,FALSE,0.505145167217935,0.50312764158918,FALSE,FALSE,0.984992971701402
"R81G05",8,0,0,0,8,0,0,0,1,0.588951098141553,FALSE,0.539834472027804,FALSE,0.61379481516891,FALSE,0.515592515592516,0.515612272603856,FALSE,FALSE,0.886701936578647
"R82A03",48,4,7,2,35,0.08,0.15,0.04,0.73,0.145602924573195,FALSE,0.0158066247581539,FALSE,0.00247078147422172,TRUE,0.348480355819125,0.351345908572196,TRUE,FALSE,0
"R82C05",27,3,4,1,19,0.11,0.15,0.04,0.7,0.18108640925899,FALSE,0.00393788391599094,FALSE,0.000290775518902995,TRUE,0.0939481887563152,0.102519039295514,TRUE,FALSE,0
"R83A02",17,0,1,0,16,0,0.06,0,0.94,0.307618038123488,FALSE,0.806982506723435,FALSE,0.790749524100788,FALSE,0.492169216921692,0.493579189990122,FALSE,FALSE,0.886701936578647
"R83B04",5,0,0,0,5,0,0,0,1,0.941158601025289,FALSE,0.158668974464419,FALSE,0.47154844340546,FALSE,0.503830288744844,0.501616379310345,FALSE,FALSE,0.984992971701402
"R84A12",71,9,11,6,45,0.13,0.15,0.08,0.63,0.00408798576817997,FALSE,0.00317831185362,FALSE,2.47493815851031e-11,TRUE,0.282257119418727,0.286223973587518,TRUE,FALSE,0
"R87A03",11,0,3,0,8,0,0.27,0,0.73,0.926337609982971,FALSE,0.0032460202284915,FALSE,0.169372374114626,FALSE,0.498479402820017,0.501394169835235,FALSE,FALSE,0.984992971701402
"R88B08",9,0,2,0,7,0,0.22,0,0.78,0.574667689666625,FALSE,0.0664697546402453,FALSE,0.143013416040229,FALSE,0.494278448823903,0.500439753737907,FALSE,FALSE,0.984992971701402
"R91F11",12,0,1,0,11,0,0.08,0,0.92,0.784800954110158,FALSE,0.455727193872206,FALSE,0.93605885532251,FALSE,0.499779249448124,0.500507614213198,FALSE,FALSE,0.984992971701402
"R91G06",7,0,0,0,7,0,0,0,1,0.318993810521934,FALSE,0.858976314682275,FALSE,0.527169036081885,FALSE,0.505330490405117,0.510920436817473,FALSE,FALSE,0.886701936578647
"R92A10",15,0,1,0,14,0,0.07,0,0.93,0.613705617030742,FALSE,0.522456607100149,FALSE,0.712331639143662,FALSE,0.496626420454545,0.498130993011539,FALSE,FALSE,0.984992971701402
"R92F08",13,2,0,0,11,0.15,0,0,0.85,0.185960101890591,FALSE,0.696738338567545,FALSE,0.134537756303081,FALSE,0.459300773952495,0.46,TRUE,FALSE,0.0374035602748832
"R95D10",26,1,4,0,21,0.04,0.15,0,0.81,0.823135796578265,FALSE,0.102095793662566,FALSE,0.326115858499701,FALSE,0.460237809534199,0.461806592968828,TRUE,FALSE,0.000301938091889337
"R96B12",20,1,1,1,17,0.05,0.05,0.05,0.85,0.417522962278011,FALSE,0.349256900252776,FALSE,0.124235660028801,FALSE,0.489863794741843,0.488943488943489,FALSE,FALSE,0.886701936578647
"R96C12",37,1,8,0,28,0.03,0.22,0,0.76,0.929691758552566,FALSE,0.000215691113489,TRUE,0.0179382683975733,FALSE,0.463575534822354,0.463334486336908,TRUE,FALSE,0.000198542762077258
"R99B02",10,0,1,0,9,0,0.1,0,0.9,0.665039976855627,FALSE,0.406314785036198,FALSE,0.569395218314722,FALSE,0.488721804511278,0.491744634012108,FALSE,FALSE,0.886701936578647
