"Allele","Ear","Quad_pval","Lin_inc_pval","Lin_dec_pval","Category"
"R01G01","X400x415L-1m1_inference.xml",0.652657855288197,0.720128943659655,0.279871056340345,""
"R01G01","X401x415-1m1_inference.xml",0.0944564712631478,0.961396783501997,0.038603216498003,"DecLin"
"R01G01","X402x415-4m2_inference.xml",0.501686142370539,0.682817748022335,0.317182251977665,""
"R01G01","X402x415-4m3_inference.xml",0.682157200727565,0.457284162676433,0.542715837323567,""
"R01G01","X403x415-3m1_inference.xml",0.180928896546065,0.966305909330991,0.0336940906690093,"DecLin"
"R01G01","X403x415-4m1_inference.xml",0.830137563110957,0.718403784998229,0.281596215001771,""
"R01G01","Y2x26-1_inference.xml",0.327708752909775,0.936180258712212,0.063819741287788,""
"R01G01","Y2x26-2_inference.xml",0.472802079295362,0.569495272085971,0.430504727914029,""
"R01G01","Y2x26-3_inference.xml",0.581069263330019,0.749457784486512,0.250542215513488,""
"R01G01","Y2x26-4_inference.xml",0.527587147900241,0.215232810838894,0.784767189161106,""
"R01G01","Y2x26-5_inference.xml",0.41379262014885,0.327214925962028,0.672785074037972,""
"R02D02","X400x417-3m1_inference.xml",0.0876681870809704,0.0128028686661939,0.987197131333806,"IncLin"
"R02D02","X401x417-2m1_inference.xml",0.38196306464529,0.14825563850836,0.85174436149164,""
"R02D02","X402x417-2m2_inference.xml",0.887262895722755,0.318492436418948,0.681507563581052,""
"R02D02","X402x417-2m3_inference.xml",0.306800888469729,0.767533760365189,0.232466239634811,""
"R02D02","Y2x18-1_inference.xml",0.334125845902703,0.915191368804821,0.0848086311951792,""
"R02D02","Y2x18-2_inference.xml",0.301004716595694,0.762453296161968,0.237546703838032,""
"R02D02","Y2x18-3_inference.xml",0.0403210979743013,0.0880908596400351,0.911909140359965,"TrueQuad"
"R02D02","Y2x18-4_inference.xml",0.04309930583499,0.080704257246801,0.919295742753199,"TrueQuad"
"R02D02","Y2x18-5_inference.xml",0.851154988575506,0.544630469213321,0.455369530786679,""
"R04A02","A102x14-3_inference.xml",0.800437930225033,0.52494553050322,0.47505446949678,""
"R04A02","A102x14-4_inference.xml",0.888279192231753,0.38359166567039,0.616408334329611,""
"R04A02","A102x14-5_inference.xml",0.854917945552894,0.631283197353858,0.368716802646142,""
