"Allele","Ear","Quad_pval","Lin_inc_pval","Lin_dec_pval","B0","B1","B2","Coord_start","Coord_end"
"R01G01","X400x415L-1m1_inference.xml",0.652657855288197,0.720128943659655,0.279871056340345,-0.679269346645848,0.00157780012224705,-9.57882503561436e-07,234,1785
"R01G01","X401x415-1m1_inference.xml",0.0944564712631478,0.961396783501997,0.038603216498003,1.7332919278556,-0.00326638971852483,1.37158051965706e-06,396,1640
"R01G01","X402x415-4m2_inference.xml",0.501686142370539,0.682817748022335,0.317182251977665,-0.427063508348009,0.00101057653832544,-5.87338526299303e-07,229,1786
"R01G01","X402x415-4m3_inference.xml",0.682157200727565,0.457284162676433,0.542715837323567,0.710298670940584,-0.0017315031803201,9.19513046073403e-07,195,1797
"R01G01","X403x415-3m1_inference.xml",0.180928896546065,0.966305909330991,0.0336940906690093,0.611758674715678,-0.000965609744838507,2.77815918194283e-07,187,1817
"R01G01","X403x415-4m1_inference.xml",0.830137563110957,0.718403784998229,0.281596215001771,0.0479173568861967,0.000154608862778933,-1.64323940935757e-07,166,1808
"R01G01","Y2x26-1_inference.xml",0.327708752909775,0.936180258712212,0.063819741287788,0.0831349170995518,-0.000263026253620235,3.23294417415271e-08,56,1861
"R01G01","Y2x26-2_inference.xml",0.472802079295362,0.569495272085971,0.430504727914029,-0.352315842924958,0.00126194936415055,-8.00536220540259e-07,62,1690
"R01G01","Y2x26-3_inference.xml",0.581069263330019,0.749457784486512,0.250542215513488,-0.361438793694343,0.000577317281814578,-3.91060772039238e-07,70,1834
"R01G01","Y2x26-4_inference.xml",0.527587147900241,0.215232810838894,0.784767189161106,-0.304903051637637,0.00118403546769525,-5.44582662625913e-07,126,1830
"R01G01","Y2x26-5_inference.xml",0.41379262014885,0.327214925962028,0.672785074037972,-0.472796430766722,0.00177057361325241,-9.04962348438004e-07,170,1791
"R02D02","X400x417-3m1_inference.xml",0.0876681870809704,0.0128028686661939,0.987197131333806,-0.804628265753084,0.00088685534094105,2.85299346820639e-08,184,1764
"R02D02","X401x417-2m1_inference.xml",0.38196306464529,0.14825563850836,0.85174436149164,0.419985330978538,-0.00162420415167872,1.08116128737197e-06,230,1768
"R02D02","X402x417-2m2_inference.xml",0.887262895722755,0.318492436418948,0.681507563581052,-0.367368099222493,0.0005588648088521,-1.94593335272267e-07,300,1779
"R02D02","X402x417-2m3_inference.xml",0.306800888469729,0.767533760365189,0.232466239634811,-0.906006753401778,0.00275266676817545,-1.63943241867568e-06,210,1760
"R02D02","Y2x18-1_inference.xml",0.334125845902703,0.915191368804821,0.0848086311951792,0.606893368884921,-0.00130332395465295,5.07577096809652e-07,74,1769
"R02D02","Y2x18-2_inference.xml",0.301004716595694,0.762453296161968,0.237546703838032,0.823285064935432,-0.00221167606263736,1.11380847122797e-06,108,1796
"R02D02","Y2x18-3_inference.xml",0.0403210979743013,0.0880908596400351,0.911909140359965,0.232222764371597,-0.00127529784443107,8.72814504375412e-07,74,1762
"R02D02","Y2x18-4_inference.xml",0.04309930583499,0.080704257246801,0.919295742753199,0.387068940801617,-0.00186693701631018,1.32226464396407e-06,36,1793
"R02D02","Y2x18-5_inference.xml",0.851154988575506,0.544630469213321,0.455369530786679,0.152755816754315,-0.000651016625752158,3.57219188694271e-07,68,1806
"R04A02","A102x14-3_inference.xml",0.800437930225033,0.52494553050322,0.47505446949678,-0.475378265545597,0.000610949238193574,-3.49430028250559e-07,99,1788
"R04A02","A102x14-4_inference.xml",0.888279192231753,0.38359166567039,0.616408334329611,-0.433239151849246,0.00065364179260648,-3.21901168140021e-07,80,1770
"R04A02","A102x14-5_inference.xml",0.854917945552894,0.631283197353858,0.368716802646142,-0.109109917366424,-0.000920274216464644,4.39695565774411e-07,127,1797
"R04A02","B2x561-2_inference.xml",0.592566905081814,0.29889582181416,0.70110417818584,-0.467671975156895,0.00160324459465736,-8.06944120380545e-07,90,1786
"R04A02","X400x418-2m1_inference.xml",0.288115488064275,0.135353403784938,0.864646596215062,-1.09024473610791,0.00224160441009551,-1.08952428288148e-06,173,1696
"R04A02","X401x418-3m1_inference.xml",0.501908373237137,0.548936884837997,0.451063115162003,1.47740988495581,-0.00412538488772043,2.39546344792675e-06,354,1450
"R04A02","X402x418-1m1_inference.xml",0.953892764659345,0.43216814440554,0.567831855594459,-0.382868388957128,-0.000351970176954974,2.12125041351142e-07,220,1809
"R04A02","X402x418-1m2_inference.xml",0.480791820575662,0.702180572195064,0.297819427804936,-0.380862162851837,0.00102624806804142,-6.61944886267506e-07,64,1822
"R04A02","X402x418-1m3_inference.xml",0.19796955357205,0.62484139065972,0.37515860934028,1.04324355128344,-0.0034629839478661,1.76082064693954e-06,191,1838
"R04A02","Y1x274-1m1_inference.xml",0.215547307357121,0.370680050261787,0.629319949738213,0.378866926536197,-0.00193877921635911,1.17276497367422e-06,60,1766
"R04A02","Y2x23-1_inference.xml",0.84975936489184,0.524621374092091,0.475378625907909,0.353629850568968,-0.00102985058965558,5.49230804538526e-07,190,1740
"R04A02","Y2x23-2.xml",0.725806070035888,0.248998325256522,0.751001674743478,-1.01182864192428,0.00105926632741193,-4.40626605910758e-07,181,1758
"R04A02","Y2x23-3.xml",0.702451428355265,0.565356689475626,0.434643310524374,-0.400954057032486,0.00104279913365412,-5.92163402875253e-07,157,1749
"R04A02","Y2x23-4_inference.xml",0.930751325016284,0.648227374863835,0.351772625136165,-0.307954533018088,-0.00012381718266757,3.32122562408878e-08,102,1780
