"Allele","Ear","Quad_pval","Lin_inc_pval","Lin_dec_pval","B0","B1","B2","Coord_start","Coord_end","Count","Increasing.Linear","Inc_Linear_Benji_Pass","Decreasing.Linear","Dec_Linear_Benji_Pass","Quadratic","Quadratic_Benji_Pass","Transmission_Rate_Spatial_GLM","Transmission_Rate_TR_GLM","Transmission_Defect","Transmission_Bias_Positive","TR_GLM_Adj_pval"
"R02D02","Y2x18-3_inference.xml",0.0403210979743013,0.0880908596400351,0.911909140359965,0.232222764371597,-0.00127529784443107,8.72814504375412e-07,74,1762,9,0.0756999954237723,FALSE,0.744140003673505,FALSE,0.0785854733120948,FALSE,0.491044271713417,0.490914690483523,FALSE,FALSE,0.886701936578647
"R02D02","Y2x18-4_inference.xml",0.04309930583499,0.080704257246801,0.919295742753199,0.387068940801617,-0.00186693701631018,1.32226464396407e-06,36,1793,9,0.0756999954237723,FALSE,0.744140003673505,FALSE,0.0785854733120948,FALSE,0.491044271713417,0.490914690483523,FALSE,FALSE,0.886701936578647
"R04G10","X402x486-2m3_inference.xml",0.0219900016302792,0.644507806579256,0.355492193420744,0.373701609907366,-0.001572275596391,8.22120387709638e-07,159,1838,10,0.525358642297431,FALSE,0.754865108120164,FALSE,0.386095449495399,FALSE,0.49654409731822,0.499241658240647,FALSE,FALSE,0.984992971701402
"R06C04","Y2x231-4_inference.xml",0.0207599774752274,0.155947980287376,0.844052019712624,-0.954960471052831,0.00252114865264819,-1.31073464027814e-06,54,1824,20,0.00912786636491199,FALSE,0.973505893481338,FALSE,0.135323963613559,FALSE,0.490168340642241,0.491744066047472,FALSE,FALSE,0.886701936578647
"R23D05","X401x432L-3m1_inference.xml",0.0194445406421971,0.631406785720697,0.368593214279303,-0.754500194158762,0.00260882959605492,-1.53723395102452e-06,50,1842,11,0.60418000067262,FALSE,0.455122371158185,FALSE,0.104309211998908,FALSE,0.500875218804701,0.500803673938003,FALSE,FALSE,0.984992971701402
"R26G07","Y2x66-6_inference.xml",0.0290117597118982,0.55584960403478,0.44415039596522,1.46743498715647,-0.0037658588733802,2.00616905847602e-06,176,1794,14,0.937056230796982,FALSE,0.286256967720442,FALSE,0.707395467298393,FALSE,0.504473363155754,0.504259259259259,FALSE,FALSE,0.984992971701402
"R31B01","Y2x40-5_inference.xml",0.00501672039787346,0.898055869304185,0.101944130695815,0.519518028225343,-0.00206486168874039,1.01461615983602e-06,108,1818,8,0.320211674500644,FALSE,0.440491482088917,FALSE,0.0915315633108238,FALSE,0.477357706688824,0.481326219512195,FALSE,FALSE,0.886701936578647
"R31H05","X401x439-1m1_inference.xml",0.0364279958309944,0.443470145154858,0.556529854845142,1.37958041660991,-0.00406862716057217,2.43532230094286e-06,195,1616,9,0.659487037635396,FALSE,0.714580310716739,FALSE,0.648404667867462,FALSE,0.505128205128205,0.502526002971768,FALSE,FALSE,0.984992971701402
"R34C11","X402x488-2m1_inference.xml",0.045008778273874,0.71290441244736,0.28709558755264,1.27267876551467,-0.00311272049814407,1.62863081362905e-06,168,1764,9,0.887553109538641,FALSE,0.166727018870525,FALSE,0.552844525409454,FALSE,0.482340253437584,0.479156449239823,FALSE,FALSE,0.605340039541689
"R49F11","X402x490-3m1_inference.xml",0.04971542448683,0.347048517596145,0.652951482403855,-2.85551324209001,0.0056963947495296,-3.00774610559744e-06,346,1686,22,0.513802872608508,FALSE,0.215550493752082,FALSE,0.185571925673913,FALSE,0.444798724591471,0.44631604459525,TRUE,FALSE,2.12029814949943e-06
"R52E07","Y2x51-6_inference.xml",0.0248211087037879,0.212255060740415,0.787744939259585,0.821798973223477,-0.00318506611202725,1.90278740883271e-06,120,1768,10,0.156325261262016,FALSE,0.797757408784116,FALSE,0.294312397142967,FALSE,0.476585496387477,0.477295409181637,FALSE,FALSE,0.522202301881985
"R69C04","A102x22-4_inference.xml",0.00540143231905104,0.901605506646987,0.098394493353013,-0.659422235878312,0.00313969786885045,-2.00335026454518e-06,120,1810,7,0.121870790852699,FALSE,0.715868222872016,FALSE,0.0790226027618038,FALSE,0.531478770131772,0.532950022114109,FALSE,FALSE,0.426203470941608
"R82A03","Y1x289A-7_inference.xml",0.031423940380669,0.931831638261064,0.068168361738936,0.776236337939506,-0.00454936091500132,2.33699476895258e-06,166,1665,48,0.145602924573195,FALSE,0.0158066247581539,FALSE,0.00247078147422172,TRUE,0.348480355819125,0.351345908572196,TRUE,FALSE,0
"R82A03","Y2x19-2_inference.xml",0.013674389943402,0.945561231098905,0.0544387689010952,0.537153194513182,-0.00371047124927512,1.79757929825788e-06,82,1797,48,0.145602924573195,FALSE,0.0158066247581539,FALSE,0.00247078147422172,TRUE,0.348480355819125,0.351345908572196,TRUE,FALSE,0
"R82C05","Z2x82-2.xml",0.0349048210606187,0.620956444241055,0.379043555758945,-1.38216584445826,-0.00701701276434622,3.91947125917062e-06,167,1720,27,0.18108640925899,FALSE,0.00393788391599094,FALSE,0.000290775518902995,TRUE,0.0939481887563152,0.102519039295514,TRUE,FALSE,0
"R84A12","B2x575B-1_inference.xml",0.00096970875158175,0.365334973944969,0.634665026055031,0.460763976392347,-0.00564560908148034,3.16930825380863e-06,174,1762,71,0.00408798576817997,FALSE,0.00317831185362,FALSE,2.47493815851031e-11,TRUE,0.282257119418727,0.286223973587518,TRUE,FALSE,0
