"Allele","Ear","Quad_pval","Lin_inc_pval","Lin_dec_pval","B0","B1","B2","Coord_start","Coord_end"
"R01G01","X415-1x402_inference.xml",0.269110847090965,0.133323088268758,0.866676911731242,0.85158099803882,-0.00261422612730812,1.95862821607412e-06,223,1527
"R01G01","X415-3x402_inference.xml",0.748005155160166,0.592530636696946,0.407469363303054,0.807821282421882,-0.00219757440432581,1.31238009455585e-06,268,1465
"R01G01","X415L-1x402_inference.xml",0.351713001669885,0.686330411103083,0.313669588896917,-1.00203796415199,0.00299605786185324,-1.84804733252915e-06,229,1614
"R01G01","Y26-1x1_inference.xml",0.588227925888407,0.846566563004728,0.153433436995272,0.155549210304664,3.32329122378265e-05,-1.22845678114696e-07,112,1840
"R01G01","Y26-2x1_inference.xml",0.60452855327457,0.300859504419344,0.699140495580656,0.324264724100278,-0.00115137972350763,7.36871872006857e-07,106,1804
"R01G01","Y26-3x1_inference.xml",0.701007912719487,0.248998362503428,0.751001637496572,0.125776916216311,-0.000761369063255384,5.92197920126632e-07,118,1766
"R01G01","Y26-4x1_inference.xml",0.572098064652468,0.858887840319582,0.141112159680418,0.179498964908263,-0.000114591503145181,-4.85951652726579e-08,70,1837
"R01G01","Y26-5x1_inference.xml",0.657713775555368,0.787340001655839,0.212659998344161,-0.0939710286922746,0.000334212555863468,-2.81457364538669e-07,93,1827
"R02D02","X417-2x402_inference.xml",0.378693828149387,0.0776591907677641,0.922340809232236,-0.0983667223498202,0.000530478940268995,-2.04930830511254e-08,286,1591
"R02D02","X417-3x402_inference.xml",0.818599737008893,0.259236162981432,0.740763837018568,-0.160492222212995,0.000342391333505613,-5.17344256811822e-08,268,1547
"R02D02","X417L-1x402_inference.xml",0.343142374521722,0.255707566107256,0.744292433892744,1.10256859979568,-0.00376210691710594,2.5143547829081e-06,278,1503
"R02D02","Y18-1x1_inference.xml",0.661668669003431,0.56769817430985,0.43230182569015,-0.532852214160016,0.00154089926406603,-9.08387729527286e-07,142,1709
"R02D02","Y18-2x1_inference.xml",0.0639544383081371,0.562872058951054,0.437127941048946,0.932254204329167,-0.00231029059900172,1.22918267785124e-06,210,1760
