"Allele","Ear","Quad_pval","Lin_inc_pval","Lin_dec_pval","Category"
"R01G01","X415-1x402_inference.xml",0.269110847090965,0.133323088268758,0.866676911731242,""
"R01G01","X415-3x402_inference.xml",0.748005155160166,0.592530636696946,0.407469363303054,""
"R01G01","X415L-1x402_inference.xml",0.351713001669885,0.686330411103083,0.313669588896917,""
"R01G01","Y26-1x1_inference.xml",0.588227925888407,0.846566563004728,0.153433436995272,""
"R01G01","Y26-2x1_inference.xml",0.60452855327457,0.300859504419344,0.699140495580656,""
"R01G01","Y26-3x1_inference.xml",0.701007912719487,0.248998362503428,0.751001637496572,""
"R01G01","Y26-4x1_inference.xml",0.572098064652468,0.858887840319582,0.141112159680418,""
"R01G01","Y26-5x1_inference.xml",0.657713775555368,0.787340001655839,0.212659998344161,""
"R02D02","X417-2x402_inference.xml",0.378693828149387,0.0776591907677641,0.922340809232236,""
"R02D02","X417-3x402_inference.xml",0.818599737008893,0.259236162981432,0.740763837018568,""
"R02D02","X417L-1x402_inference.xml",0.343142374521722,0.255707566107256,0.744292433892744,""
"R02D02","Y18-1x1_inference.xml",0.661668669003431,0.56769817430985,0.43230182569015,""
"R02D02","Y18-2x1_inference.xml",0.0639544383081371,0.562872058951054,0.437127941048946,""
"R02D02","Y18-3x1_inference.xml",0.113684164668589,0.548744747271146,0.451255252728854,""
"R02D02","Y18-4x1_inference.xml",0.705747711559615,0.797528591014696,0.202471408985304,""
"R02D02","Y18-5x1_inference.xml",0.694794894828992,0.679093204106717,0.320906795893283,""
"R04A02","A14-1x102_inference.xml",0.0520816126243853,0.00817645194301884,0.991823548056981,"IncLin"
"R04A02","A14-3x102_inference.xml",0.867539097328462,0.410584939934432,0.589415060065568,""
"R04A02","A14-4x102_inference.xml",0.251024308511707,0.955305930763115,0.0446940692368848,"DecLin"
"R04A02","A14-5x102_inference.xml",0.377654130858695,0.710139038820448,0.289860961179552,""
"R04A02","X418-1x402_inference.xml",0.62548660670757,0.815887510323176,0.184112489676824,""
"R04A02","X418-2x402_inference.xml",0.0493818822070574,0.990309977066867,0.00969002293313277,"DecLin"
"R04A02","X418-3x402_inference.xml",0.665810443129684,0.201419888383207,0.798580111616793,""
"R04A02","Y23-1x1_inference.xml",0.614241796994974,0.485970308868018,0.514029691131982,""
"R04A02","Y23-2x1_inference.xml",0.902121258255876,0.417984619322168,0.582015380677832,""
"R04A02","Y23-3x1_inference.xml",0.831613776917957,0.637686647576926,0.362313352423074,""
"R04G10","B775B-2x2_inference.xml",0.100950365998021,0.0156171521538,0.9843828478462,"IncLin"
"R04G10","X486-1x402_inference.xml",0.509012161905185,0.131990174311959,0.868009825688041,""
"R04G10","X486-2x402_inference.xml",0.631759818670797,0.188998001973658,0.811001998026342,""
"R04G10","X486-3x402_inference.xml",0.871321931890714,0.441775540079233,0.558224459920767,""
"R04G10","Y38-1x1_inference.xml",0.863522606992937,0.708973824604336,0.291026175395664,""
"R04G10","Y38-2x1_inference.xml",0.134511016165068,0.0410035438235308,0.958996456176469,"IncLin"
"R04G10","Y38-3x1_inference.xml",0.0442643688717262,0.00666981286712375,0.993330187132876,"IncLin"
"R04G10","Y38-5x1_inference.xml",0.839682384870721,0.431951165651758,0.568048834348242,""
"R06C04","A280-2x102_inference.xml",0.273803278187994,0.12451648269267,0.87548351730733,""
"R06C04","B751-3x2_inference.xml",0.30548458144002,0.0635758934632101,0.93642410653679,""
"R06C04","Y15-1x1_inference.xml",0.779176133652197,0.608337452786466,0.391662547213534,""
"R06C04","Y15-2x1_inference.xml",0.024055424528211,0.00321719446438958,0.99678280553561,"IncLin"
"R06C04","Y15-4x1_inference.xml",0.00943909194412958,0.00100361431769377,0.998996385682306,"IncLin"
"R06C04","Y15-5x1_inference.xml",0.581976543908205,0.144750577460592,0.855249422539408,""
"R06C04","Y231-1x1_inference.xml",0.883158811033072,0.395599328920356,0.604400671079644,""
"R06C04","Y231-2x1_inference.xml",0.00725217500069392,0.00963022979848091,0.990369770201519,"IncLin"
"R06C04","Y231-4x1_inference.xml",0.892497996865698,0.328443092163622,0.671556907836378,""
"R06C04","Y231-5x1_inference.xml",0.170582445815821,0.898603410676016,0.101396589323984,""
"R08A07","X420-3x402_inference.xml",0.755943696652692,0.579423476265582,0.420576523734418,""
"R08A07","X420-4x402_inference.xml",0.275305619761167,0.360662220821481,0.639337779178519,""
"R08A07","Y70-1x1_inference.xml",0.290126500995902,0.0540669121937354,0.945933087806265,""
"R08A07","Y70-2x1_inference.xml",0.950660064123024,0.525279273242397,0.474720726757603,""
"R08A07","Y70-3x1_inference.xml",0.118747201993438,0.882258472262849,0.117741527737151,""
"R101B03","X421-1x402_inference.xml",0.50741430770465,0.87578051531428,0.12421948468572,""
